Master Protein Accessions,Master Protein Descriptions
P30530,Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4 - [UFO_HUMAN]
P30530,Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4 - [UFO_HUMAN]
P30530,Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4 - [UFO_HUMAN]
Q14511,Enhancer of filamentation 1 OS=Homo sapiens GN=NEDD9 PE=1 SV=1 - [CASL_HUMAN]
Q14511,Enhancer of filamentation 1 OS=Homo sapiens GN=NEDD9 PE=1 SV=1 - [CASL_HUMAN]
Q14511,Enhancer of filamentation 1 OS=Homo sapiens GN=NEDD9 PE=1 SV=1 - [CASL_HUMAN]
Q14511,Enhancer of filamentation 1 OS=Homo sapiens GN=NEDD9 PE=1 SV=1 - [CASL_HUMAN]
Q14511,Enhancer of filamentation 1 OS=Homo sapiens GN=NEDD9 PE=1 SV=1 - [CASL_HUMAN]
P45984,Mitogen-activated protein kinase 9 OS=Homo sapiens GN=MAPK9 PE=1 SV=2 - [MK09_HUMAN]
P45984,Mitogen-activated protein kinase 9 OS=Homo sapiens GN=MAPK9 PE=1 SV=2 - [MK09_HUMAN]
P45984,Mitogen-activated protein kinase 9 OS=Homo sapiens GN=MAPK9 PE=1 SV=2 - [MK09_HUMAN]
P15311,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4 - [EZRI_HUMAN]
P09211,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2 - [GSTP1_HUMAN]
P09211,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2 - [GSTP1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
P56945,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 - [BCAR1_HUMAN]
Q14511,Enhancer of filamentation 1 OS=Homo sapiens GN=NEDD9 PE=1 SV=1 - [CASL_HUMAN]
P08581,Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4 - [MET_HUMAN]
P08581,Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4 - [MET_HUMAN]
P08581,Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4 - [MET_HUMAN]
P04626,Receptor tyrosine-protein kinase erbB-2 OS=Homo sapiens GN=ERBB2 PE=1 SV=1 - [ERBB2_HUMAN]
P04626,Receptor tyrosine-protein kinase erbB-2 OS=Homo sapiens GN=ERBB2 PE=1 SV=1 - [ERBB2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P54753,Ephrin type-B receptor 3 OS=Homo sapiens GN=EPHB3 PE=1 SV=2 - [EPHB3_HUMAN]
P54753,Ephrin type-B receptor 3 OS=Homo sapiens GN=EPHB3 PE=1 SV=2 - [EPHB3_HUMAN]
P29323,Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5 - [EPHB2_HUMAN]
P29323,Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5 - [EPHB2_HUMAN]
P07437,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2 - [TBB5_HUMAN]
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5 - [DYHC1_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN]
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN]
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN]
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN]
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN]
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN]
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN]
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN]
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN]
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN]
Q14289,Protein-tyrosine kinase 2-beta OS=Homo sapiens GN=PTK2B PE=1 SV=2 - [FAK2_HUMAN]
P62158,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2 - [CALM_HUMAN]
Q9ULC4,Malignant T-cell-amplified sequence 1 OS=Homo sapiens GN=MCTS1 PE=1 SV=1 - [MCTS1_HUMAN]
P15924,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3 - [DESP_HUMAN]
P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]"
P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]"
Q9UHD8,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2 - [SEPT9_HUMAN]
Q12959,Disks large homolog 1 OS=Homo sapiens GN=DLG1 PE=1 SV=2 - [DLG1_HUMAN]
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3 - [SPTN1_HUMAN]"
P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 - [COF1_HUMAN]
Q8NHU3,Phosphatidylcholine:ceramide cholinephosphotransferase 2 OS=Homo sapiens GN=SGMS2 PE=1 SV=1 - [SMS2_HUMAN]
P42345,Serine/threonine-protein kinase mTOR OS=Homo sapiens GN=MTOR PE=1 SV=1 - [MTOR_HUMAN]
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P06239,Tyrosine-protein kinase Lck OS=Homo sapiens GN=LCK PE=1 SV=6 - [LCK_HUMAN]
P16144,Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5 - [ITB4_HUMAN]
P16144,Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5 - [ITB4_HUMAN]
P16144,Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5 - [ITB4_HUMAN]
P16144,Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5 - [ITB4_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P46109,Crk-like protein OS=Homo sapiens GN=CRKL PE=1 SV=1 - [CRKL_HUMAN]
P46109,Crk-like protein OS=Homo sapiens GN=CRKL PE=1 SV=1 - [CRKL_HUMAN]
P46109,Crk-like protein OS=Homo sapiens GN=CRKL PE=1 SV=1 - [CRKL_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]
P15924,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3 - [DESP_HUMAN]
Q14247,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2 - [SRC8_HUMAN]
Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3 - [TRXR1_HUMAN]"
Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3 - [TRXR1_HUMAN]"
P21860,Receptor tyrosine-protein kinase erbB-3 OS=Homo sapiens GN=ERBB3 PE=1 SV=1 - [ERBB3_HUMAN]
P21860,Receptor tyrosine-protein kinase erbB-3 OS=Homo sapiens GN=ERBB3 PE=1 SV=1 - [ERBB3_HUMAN]
Q5W0Z9,Probable palmitoyltransferase ZDHHC20 OS=Homo sapiens GN=ZDHHC20 PE=1 SV=1 - [ZDH20_HUMAN]
P15924,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3 - [DESP_HUMAN]
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4 - [SHC1_HUMAN]
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4 - [SHC1_HUMAN]
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4 - [SHC1_HUMAN]
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4 - [SHC1_HUMAN]
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4 - [SHC1_HUMAN]
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4 - [SHC1_HUMAN]
P08729,"Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5 - [K2C7_HUMAN]"
Q9H4G0,Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1 PE=1 SV=2 - [E41L1_HUMAN]
P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4 - [K1C19_HUMAN]"
P18433,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens OX=9606 GN=PTPRA PE=1 SV=3 - [PTPRA_HUMAN]
P18433,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens OX=9606 GN=PTPRA PE=1 SV=3 - [PTPRA_HUMAN]
Q68CZ2,Tensin-3 OS=Homo sapiens GN=TNS3 PE=1 SV=2 - [TENS3_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
Q92625,Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens GN=ANKS1A PE=1 SV=4 - [ANS1A_HUMAN]
P54753,Ephrin type-B receptor 3 OS=Homo sapiens GN=EPHB3 PE=1 SV=2 - [EPHB3_HUMAN]
Q9Y3B8,"Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3 - [ORN_HUMAN]"
Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3 - [TRXR1_HUMAN]"
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1 - [LPP_HUMAN]
Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1 - [LPP_HUMAN]
Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1 - [LPP_HUMAN]
Q9NRY4,Rho GTPase-activating protein 35 OS=Homo sapiens GN=ARHGAP35 PE=1 SV=3 - [RHG35_HUMAN]
Q05655,Protein kinase C delta type OS=Homo sapiens GN=PRKCD PE=1 SV=2 - [KPCD_HUMAN]
Q05655,Protein kinase C delta type OS=Homo sapiens GN=PRKCD PE=1 SV=2 - [KPCD_HUMAN]
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2 - [EPHA2_HUMAN]
O60547,"GDP-mannose 4,6 dehydratase OS=Homo sapiens GN=GMDS PE=1 SV=1 - [GMDS_HUMAN]"
O60547,"GDP-mannose 4,6 dehydratase OS=Homo sapiens GN=GMDS PE=1 SV=1 - [GMDS_HUMAN]"
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3 - [MK01_HUMAN]
P60900,Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1 - [PSA6_HUMAN]
P60900,Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1 - [PSA6_HUMAN]
P15924,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3 - [DESP_HUMAN]
P15924,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3 - [DESP_HUMAN]
Q9NWQ8,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 OS=Homo sapiens GN=PAG1 PE=1 SV=2 - [PHAG1_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
P27361,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4 - [MK03_HUMAN]
